Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Root","[chrome.dll]","[chrome.dll]",38,11,"95,00","27,50",
"Caller","[chrome.dll]","[chrome.dll]",38,11,"95,00","27,50",
"Caller","[chrome.dll]","[chrome.exe]",4,0,"10,00","0,00",
"Caller","[chrome.dll]","[user32.dll]",1,0,"2,50","0,00",
"Callee","[chrome.dll]","[chrome.dll]",38,11,"95,00","27,50",
"Callee","[chrome.dll]","[KernelBase.dll]",6,6,"15,00","15,00",
"Callee","[chrome.dll]","[ntdll.dll]",2,2,"5,00","5,00",
"Callee","[chrome.dll]","[user32.dll]",3,3,"7,50","7,50",
"Callee","[chrome.dll]","[win32u.dll]",1,1,"2,50","2,50",
"Callee","[chrome.dll]","[winhttp.dll]",8,8,"20,00","20,00",
"Callee","[chrome.dll]","[ws2_32.dll]",7,7,"17,50","17,50",
"Root","[chrome.exe]","[chrome.exe]",4,0,"10,00","0,00",
"Caller","[chrome.exe]","[chrome.exe]",4,0,"10,00","0,00",
"Callee","[chrome.exe]","[chrome.dll]",4,0,"10,00","0,00",
"Callee","[chrome.exe]","[chrome.exe]",4,0,"10,00","0,00",
"Root","[KernelBase.dll]","[KernelBase.dll]",6,6,"15,00","15,00",
"Caller","[KernelBase.dll]","[chrome.dll]",6,6,"15,00","15,00",
"Root","[ntdll.dll]","[ntdll.dll]",2,2,"5,00","5,00",
"Caller","[ntdll.dll]","[chrome.dll]",2,2,"5,00","5,00",
"Root","[TextInputFramework.dll]","[TextInputFramework.dll]",1,1,"2,50","2,50",
"Caller","[TextInputFramework.dll]","[TextInputFramework.dll]",1,1,"2,50","2,50",
"Callee","[TextInputFramework.dll]","[TextInputFramework.dll]",1,1,"2,50","2,50",
"Root","[user32.dll]","[user32.dll]",3,3,"7,50","7,50",
"Caller","[user32.dll]","[chrome.dll]",3,3,"7,50","7,50",
"Callee","[user32.dll]","[chrome.dll]",1,0,"2,50","0,00",
"Root","[win32u.dll]","[win32u.dll]",1,1,"2,50","2,50",
"Caller","[win32u.dll]","[chrome.dll]",1,1,"2,50","2,50",
"Root","[winhttp.dll]","[winhttp.dll]",8,8,"20,00","20,00",
"Caller","[winhttp.dll]","[chrome.dll]",8,8,"20,00","20,00",
"Root","[WinTypes.dll]","[WinTypes.dll]",1,1,"2,50","2,50",
"Caller","[WinTypes.dll]","[WinTypes.dll]",1,1,"2,50","2,50",
"Callee","[WinTypes.dll]","[WinTypes.dll]",1,1,"2,50","2,50",
"Root","[ws2_32.dll]","[ws2_32.dll]",7,7,"17,50","17,50",
"Caller","[ws2_32.dll]","[chrome.dll]",7,7,"17,50","17,50",
