Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"[chrome.dll]",11,"27,50",0x7FFD1370E91D,0,0,0,0,
"[winhttp.dll]",8,"20,00",0x7FFD5EDBE591,0,0,0,0,
"[ws2_32.dll]",3,"7,50",0x7FFD696B9022,0,0,0,0,
"[KernelBase.dll]",2,"5,00",0x7FFD66DE3642,0,0,0,0,
"[ws2_32.dll]",2,"5,00",0x7FFD696BA99D,0,0,0,0,
"[KernelBase.dll]",1,"2,50",0x7FFD66DC2676,0,0,0,0,
"[KernelBase.dll]",1,"2,50",0x7FFD66DC2BBA,0,0,0,0,
"[KernelBase.dll]",1,"2,50",0x7FFD66DDB6D3,0,0,0,0,
"[KernelBase.dll]",1,"2,50",0x7FFD66DF3657,0,0,0,0,
"[ntdll.dll]",1,"2,50",0x7FFD6A696E25,0,0,0,0,
"[ntdll.dll]",1,"2,50",0x7FFD6A696F24,0,0,0,0,
"[TextInputFramework.dll]",1,"2,50",0x7FFD5486685A,0,0,0,0,
"[user32.dll]",1,"2,50",0x7FFD69D77643,0,0,0,0,
"[user32.dll]",1,"2,50",0x7FFD69D86713,0,0,0,0,
"[user32.dll]",1,"2,50",0x7FFD69D90BCD,0,0,0,0,
"[win32u.dll]",1,"2,50",0x7FFD66D710C4,0,0,0,0,
"[WinTypes.dll]",1,"2,50",0x7FFD6303A630,0,0,0,0,
"[ws2_32.dll]",1,"2,50",0x7FFD696B985D,0,0,0,0,
"[ws2_32.dll]",1,"2,50",0x7FFD696BA339,0,0,0,0,
