Mark ID,Mark Name,Timestamp,CPU Usage %,
0,"Start of Program","0,00",0,
1,"VSPXAutoMark","500,00",0,
2,"VSPXAutoMark","1.000,00",0,
3,"VSPXAutoMark","1.500,00",0,
4,"VSPXAutoMark","2.000,00",0,
5,"VSPXAutoMark","2.500,00",0,
6,"VSPXAutoMark","3.000,00",0,
7,"VSPXAutoMark","3.500,00",0,
8,"VSPXAutoMark","4.000,00",0,
9,"VSPXAutoMark","4.500,00",0,
10,"VSPXAutoMark","5.000,00",0,
11,"VSPXAutoMark","5.500,00",0,
12,"VSPXAutoMark","6.000,00",0,
13,"VSPXAutoMark","6.500,00",0,
14,"VSPXAutoMark","7.000,00",0,
15,"VSPXAutoMark","7.500,00",0,
16,"VSPXAutoMark","8.000,00",0,
17,"VSPXAutoMark","8.500,00",0,
18,"VSPXAutoMark","9.000,00",0,
19,"VSPXAutoMark","9.500,00",0,
20,"VSPXAutoMark","10.000,00",0,
21,"VSPXAutoMark","10.500,00",0,
22,"VSPXAutoMark","11.000,00",0,
23,"VSPXAutoMark","11.500,00",0,
24,"VSPXAutoMark","12.000,00",0,
25,"VSPXAutoMark","12.500,00",0,
26,"VSPXAutoMark","13.000,00",0,
27,"VSPXAutoMark","13.500,00",0,
28,"VSPXAutoMark","14.000,00",0,
29,"VSPXAutoMark","14.500,00",0,
30,"VSPXAutoMark","15.000,00",0,
31,"VSPXAutoMark","15.500,00",0,
32,"VSPXAutoMark","16.000,00",0,
33,"VSPXAutoMark","16.500,00",0,
34,"VSPXAutoMark","17.000,00",0,
35,"VSPXAutoMark","17.500,00",5,
4294967295,"End of Program","17.652,22",0,
36,"VSPXAutoMark","17.652,22",1,
